bpm,166.0
offset,131
0;2,0,4;0
0;2,0,4;3
0;7,0,4;0
0;7,0,4;2
0;8,2,4;1
0;8,2,4;3
0;10,0,4;0
0;10,0,4;3
0;15,0,4;1
0;15,0,4;3
0;16,2,4;0
0;16,2,4;2
0;18,0,4;1
0;18,0,4;2
0;23,0,4;0
0;23,0,4;2
0;24,2,4;1
0;24,2,4;3
0;26,0,4;1
0;26,0,4;2
0;31,0,4;1
0;31,0,4;3
0;32,2,4;0
0;32,2,4;2
0;34,0,4;0
0;34,0,4;1
0;36,0,4;2
0;36,0,4;3
0;37,2,4;0
0;37,2,4;3
0;38,2,4;1
0;38,2,4;2
0;39,2,4;0
0;39,2,4;3
1;40,0,4;41,0,4;0
1;40,0,4;41,0,4;3
1;42,0,4;43,0,4;0
1;43,0,4;44,0,4;3
1;44,0,4;45,0,4;1
1;45,0,4;46,0,4;2
1;46,0,4;47,0,4;0
1;47,0,4;48,0,4;3
1;48,0,4;49,0,4;1
1;49,0,4;50,0,4;2
0;50,0,4;0
0;50,2,4;2
0;51,0,4;1
0;51,2,4;3
0;52,0,4;0
0;53,2,4;0
0;54,0,4;3
0;54,2,4;1
0;55,0,4;2
0;55,2,4;0
0;56,0,4;3
0;57,2,4;3
0;58,0,4;0
0;58,2,4;1
0;59,0,4;2
0;59,2,4;3
0;60,0,4;1
0;60,2,4;0
0;61,0,4;2
0;61,2,4;3
0;62,0,4;1
0;62,2,4;1
0;63,0,4;2
0;63,2,4;2
0;64,0,4;0
0;65,2,4;2
0;66,0,4;0
0;66,2,4;3
0;67,0,4;1
0;67,2,4;2
0;68,0,4;0
0;69,2,4;1
0;70,0,4;3
0;70,2,4;0
0;71,0,4;2
0;71,2,4;1
0;72,0,4;3
0;73,2,4;1
0;74,0,4;3
0;74,2,4;2
0;75,0,4;1
0;75,2,4;0
0;76,0,4;2
0;76,2,4;3
0;77,0,4;1
0;77,2,4;0
0;78,0,4;2
0;78,2,4;2
0;79,0,4;1
0;79,2,4;1
0;80,0,4;3
1;81,0,4;82,0,4;0
0;82,0,4;3
0;82,3,4;3
0;83,2,4;3
0;84,2,4;1
0;85,0,4;3
0;85,2,4;0
0;86,0,4;2
0;86,3,4;2
0;87,2,4;2
0;88,2,4;0
0;89,0,4;2
0;89,2,4;1
0;90,0,4;3
0;90,2,4;2
0;91,0,4;1
0;92,0,4;0
0;92,2,4;1
0;93,0,4;2
0;94,0,4;3
0;94,2,4;1
0;95,0,4;2
0;95,2,4;0
0;96,0,4;3
0;96,2,4;2
0;97,0,4;1
